#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,INTESC. CARLOS GARCÍA LUCERO,"AV. SAN IGNACIO#1834 L-3 Col: JARDINES DE SAN MANUEL CP: 72570
Puebla,Puebla
(222)6215765 Ext: 000
(0)0 Ext: 000
garlu.carlos@intesc.mx"
,,,,,,,,,
432,149284,CHATBOT DE ASESORÍA UNIVERSITARIA,práctica profesional,FACULTAD CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO 14 SUR, CD UNIVERSITARIA, COL: CDAD. UNIVERSITARIA CP: 72592
Puebla , Puebla
(222) 2295500 EXT 3930
(222) 2295500 EXT 3930
juditte12@gmail.com"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV SAN CLAUDIO 14 SUR, CD UNIVERSITARIA, COL: CDAD. UNIVERSITARIA CP: 72592
Puebla , Puebla
(222) 2295500 EXT 3930
(222) 2295500 EXT 3930
juditte12@gmail.com"
,,,,,,,,,
433,149292,DISEÑO E IMPLEMENTACIÓN DE ANIMACIONES 2D DE FENÓMENOS FÍSICOS Y GEOFÍSICOS,práctica profesional,LABORATORIO DE PROSPECCIÓN GEOFÍSICA,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE INGENIERIA,"CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7621
(222) EXT
YLEANA.MARTINEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE INGENIERIA,"CIUDAD UNIVERSITARIA S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7621
(222) EXT
YLEANA.MARTINEZ@CORREO.BUAP.MX"
,,,,,,,,,
434,149328,ANALISIS-DISEÑO-IMPLEMENTACIÓN DE MATERIAL MULTIMEDIA PARA INFORMAR SOBRE PROCEDIMIENTOS DE NIÑOS CON CÁNCER,práctica profesional,"CUBICULO 117, EDIFICIO CC01, FCC-BUA",Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"ESQ. AV. 14 SUR Y AV. SAN CLAUDIO S/N COL: SAN MANUEL, CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7225
(222) 2295500 EXT
CZEPEDAC@GMAIL.COM"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"ESQ. AV. 14 SUR Y AV. SAN CLAUDIO S/N COL: SAN MANUEL, CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7225
(222) 2295500 EXT
CZEPEDAC@GMAIL.COM"
,,,,,,,,,
435,149333,IMPLEMENTACIÓN DE SEGURIDAD EN APLICACIONES EN DJANGO,práctica profesional,INGENIERÍA E INNOVACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,CONSULTORÍA INTEGRAL TANDEM S.C.,"PRIV. 7 B SUR4914 Col: PRADOS AGUA AZUL CP: 72430
Puebla,Puebla
()22269086 Ext: 0
(0)0 Ext: 0
PLANEACION@TANDEMCONSULTORIA.COM.MX"
436,149338,IMPLEMENTACIÓN DE UNA APLICACIÓN MÓVIL PARA CASOS CLÍNICOS DIRIGIDA A ESTUDIANTES DEL ÁREA DE LA SALUD,práctica profesional,EN SU HOGAR POR LA PANDEMIA,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"ESQ. AV. 14 SUR Y AV. SAN CLAUDIO S/N COL: SAN MANUEL, CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7225
(222) 2295500 EXT
CZEPEDAC@GMAIL.COM"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"ESQ. AV. 14 SUR Y AV. SAN CLAUDIO S/N COL: SAN MANUEL, CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7225
(222) 2295500 EXT
CZEPEDAC@GMAIL.COM"
,,,,,,,,,
437,149340,IMPLEMENTACIÓN DE HERRAMIENTAS UI & UX PARA DISEÑO DE INTERACCIÓN,práctica profesional,INGENIERÍA E INNOVACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CONSULTORÍA INTEGRAL TANDEM S.C.,"PRIV. 7 B SUR4914 Col: PRADOS AGUA AZUL CP: 72430
Puebla,Puebla
()22269086 Ext: 0
(0)0 Ext: 0
PLANEACION@TANDEMCONSULTORIA.COM.MX"
438,149348,PROGRAMA DE REVISIÓN PREVENTIVA,práctica profesional,INGENIERÍA E INNOVACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CONSULTORÍA INTEGRAL TANDEM S.C.,"PRIV. 7 B SUR4914 Col: PRADOS AGUA AZUL CP: 72430
Puebla,Puebla
()22269086 Ext: 0
(0)0 Ext: 0
PLANEACION@TANDEMCONSULTORIA.COM.MX"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,CONSULTORÍA INTEGRAL TANDEM S.C.,"PRIV. 7 B SUR4914 Col: PRADOS AGUA AZUL CP: 72430
Puebla,Puebla
()22269086 Ext: 0
(0)0 Ext: 0
PLANEACION@TANDEMCONSULTORIA.COM.MX"
,,,,,,,,,
439,149356,AUTENTICACIÓN Y FIRMAS DIGITALES UTILIZANDO CRIPTOGRAFIA,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQ. VALSEQUILLO S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2980390 EXT
(222) 2980390 EXT
clima@cs.buap.mx"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQ. VALSEQUILLO S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2980390 EXT
(222) 2980390 EXT
clima@cs.buap.mx"
,,,,,,,,,
440,149362,INSTAURACIÓN DE RECURSOS HUMANOS CON TRABAJO MULTIDISCIPLINARIO,práctica profesional,RECURSOS HUMANOS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,CENTRO DE ESTUDIOS PROFESIONALES A.C. Y/O ESC. LIBRE DE PSICOLOGIA,"3 OTE 1601 Col: AZCARATE CP:
Puebla,Puebla
(222)2366770 Ext:
() Ext:
JLN_25@HOTMAIL.COM"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CENTRO DE ESTUDIOS PROFESIONALES A.C. Y/O ESC. LIBRE DE PSICOLOGIA,"3 OTE 1601 Col: AZCARATE CP:
Puebla,Puebla
(222)2366770 Ext:
() Ext:
JLN_25@HOTMAIL.COM"
,,,,,,,,,
441,149375,GESTIÓN Y CONTROL DE DOCUMENTOS,práctica profesional,RECURSOS HUMANOS,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CENTRO DE ESTUDIOS PROFESIONALES A.C. Y/O ESC. LIBRE DE PSICOLOGIA,"3 OTE 1601 Col: AZCARATE CP:
Puebla,Puebla
(222)2366770 Ext:
() Ext:
JLN_25@HOTMAIL.COM"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,CENTRO DE ESTUDIOS PROFESIONALES A.C. Y/O ESC. LIBRE DE PSICOLOGIA,"3 OTE 1601 Col: AZCARATE CP:
Puebla,Puebla
(222)2366770 Ext:
() Ext:
JLN_25@HOTMAIL.COM"
,,,,,,,,,
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,CENTRO DE ESTUDIOS PROFESIONALES A.C. Y/O ESC. LIBRE DE PSICOLOGIA,"3 OTE 1601 Col: AZCARATE CP:
Puebla,Puebla
(222)2366770 Ext:
() Ext:
JLN_25@HOTMAIL.COM"
,,,,,,,,,
442,149404,ANEXO TRANSVERSAL,práctica profesional,DIRECCIÓN DE PLANEACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,"SECRETARÍA DE INFRAESTRUCTURA, MOVILIDAD Y TRANSPORTES","BLVD ATLIXCAYOTLNUM. 1101 Col: RESERVA TERRITORIAL ATLIXCAYOTL COL. CONCEPCION LAS LAJAS CP: 72190
Puebla,Puebla
(222)3034600 Ext: 1315
(222)0 Ext:
MICHELL.ORTEGA@PUEBLA.GOB.MX"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,"SECRETARÍA DE INFRAESTRUCTURA, MOVILIDAD Y TRANSPORTES","BLVD ATLIXCAYOTLNUM. 1101 Col: RESERVA TERRITORIAL ATLIXCAYOTL COL. CONCEPCION LAS LAJAS CP: 72190
Puebla,Puebla
(222)3034600 Ext: 1315
(222)0 Ext:
MICHELL.ORTEGA@PUEBLA.GOB.MX"
,,,,,,,,,
443,149431,INSTALACIÓN DE LABORATORIO DE PRUEBAS DE SEGURIDAD DE LA INFORMACIÓN EN SISTEMAS EMPRESARIALES,práctica profesional,MCSEC SC,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,MCSEC S.C.,"BLVD. HERMANOS SERDÁN45 PH PISO 8-801 Col: AMOR CP: 72140
Puebla,Puebla
(222)4058422 Ext: 0000
(222)2267860 Ext: 0000
RH@MCSEC.COM.MX"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,MCSEC S.C.,"BLVD. HERMANOS SERDÁN45 PH PISO 8-801 Col: AMOR CP: 72140
Puebla,Puebla
(222)4058422 Ext: 0000
(222)2267860 Ext: 0000
RH@MCSEC.COM.MX"
,,,,,,,,,
444,149520,GESTIONES ESTATALES Y FEDERALES PARA EL MUNICIPIO DE ACAJETE Y SOLUCIONES EN EL H. AYUNTAMIENTO DE ACAJETE,práctica profesional,REGIDURÍA DE SALUBRIDAD Y ASISTENCIA PÚBLICA,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,H. AYUNTAMIENTO DE ACAJETE. PUEBLA,"AV. AYUNTAMIENTO8 Col: CENTRO CP: 75110
Puebla,Acajete
(22)11078901 Ext: 113
() Ext:
FUENTESCANCINOISAEL1@GMAIL.COM"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,H. AYUNTAMIENTO DE ACAJETE. PUEBLA,"AV. AYUNTAMIENTO8 Col: CENTRO CP: 75110
Puebla,Acajete
(22)11078901 Ext: 113
() Ext:
FUENTESCANCINOISAEL1@GMAIL.COM"
,,,,,,,,,
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,H. AYUNTAMIENTO DE ACAJETE. PUEBLA,"AV. AYUNTAMIENTO8 Col: CENTRO CP: 75110
Puebla,Acajete
(22)11078901 Ext: 113
() Ext:
FUENTESCANCINOISAEL1@GMAIL.COM"
,,,,,,,,,
445,149521,CREACIÓN DE SISTEMA Y APLICACIÓN ADMINISTRATIVA EN EL CENTRO UNIVERSITARIO DE PARTICIPACIÓN SOCIAL,práctica profesional,CENTRO UNIVERSITARIO DE PARTICIPACIÓN SOCIAL,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,CENTRO UNIV. DE PART.SOCIAL,"14 SUR 5507 COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 2580
(222) 2335977 EXT 0
SERVICIOSOCIALCUPS@GMAIL.COM"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CENTRO UNIV. DE PART.SOCIAL,"14 SUR 5507 COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 2580
(222) 2335977 EXT 0
SERVICIOSOCIALCUPS@GMAIL.COM"
,,,,,,,,,
446,149541,CREACIÓN DE MATERIAL AUDIOVISUAL PSICOEDUCATIVO PARA NIÑOS CON CÁNCER Y PERSONAS RELACIONADAS,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 7219
(222) 2295500 EXT 5672
hildacz@gmail.com"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 7219
(222) 2295500 EXT 5672
hildacz@gmail.com"
,,,,,,,,,
447,149605,CONSTRUCCIÓN Y CARACTERIZACIÓN DE DETECTORES DE PARTÍCULAS PARA EXPERIMENTOS EN EL CERN Y JINR,práctica profesional,FCFM,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,,,,,
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AVENIDA SAN CLAUDIO Y 18 SUR S/N COL: SAN MANUEL CP: 72590
Puebla , Puebla
(222) 2295500 EXT 3671
(222) 2295500 EXT 7512
mario.rodriguez@correo.buap.mx"
,,,,,,,,,
448,149645,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - CHOLULA,práctica profesional,DDR 05 CHOLULA O CADERS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
449,149650,PLANTILLAS DIGITALES PARA LA GENERACIÓN DE OBJETOS DE APRENDIZAJE,práctica profesional,EN FORMA REMOTA DESDE SU CASA,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR EDIFICIO 104C - 303D COL: SAN MANUEL CP: 72000
Puebla , Puebla
(1) 2295500 EXT 7241
(1) EXT
armando@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR EDIFICIO 104C - 303D COL: SAN MANUEL CP: 72000
Puebla , Puebla
(1) 2295500 EXT 7241
(1) EXT
armando@cs.buap.mx"
,,,,,,,,,
450,149659,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - PUEBLA,práctica profesional,OFICINA DE REPRESENTACIÓN PUEBLA,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
,,,,,,,,,
451,149669,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - HUAUCHINANGO,práctica profesional,DDR 01 HUAUCHINANGO,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
452,149673,SOPORTE TÉCNICO AL LABORATORIO CISCO BUAP-FCC,práctica profesional,AREA DE REDES DE COMPUTADORAS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"Av sn Claudio sn COL: Sn MAnuel CP: 7200
Puebla , Puebla
(222) 2295500 EXT 7216
(222) 2295500 EXT 7216
apolonio@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"Av sn Claudio sn COL: Sn MAnuel CP: 7200
Puebla , Puebla
(222) 2295500 EXT 7216
(222) 2295500 EXT 7216
apolonio@cs.buap.mx"
,,,,,,,,,
453,149681,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - TEZIUTLÁN,práctica profesional,DDR 03 TEZIUTLÁN O CADERS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
454,149692,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - TECAMACHALCO,práctica profesional,DDR 07 TECAMACHALCO O CADERS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
,,,,,,,,,
455,149693,APOYO TÉCNICO ADMINISTRATIVO EN LOS PROGRAMAS DE AGRICULTURA - TEHUACÁN,práctica profesional,DDR 08 TEHUACÁN O CADERS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,SAGARPA DELEGACIÓN EN EL ESTADO DE PUEBLA,"26 NORTE1202 EDIF. A Col:HULBOLDT CP: 72370
Puebla,Puebla
(222)2351545 Ext:
() Ext:
capyde@pbl.sagarpa.gob.mx"
456,149710,PROPUESTA DE DIFUSIÓN CULTURAL DEL CENTRO INAH PUEBLA,práctica profesional,DIFUSIÓN CULTURAL,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,"AV. EJERCITO DE OTE. S/N Col: CENTRO CIVICO 5 DE MAYO LOS FUERTES, PUEBLA PUE. CP: 72270
Puebla,Puebla
(222)2137390 Ext: 298054
(222) Ext:
CLAUDIA_NERI@INAH.GOB.MX"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,"AV. EJERCITO DE OTE. S/N Col: CENTRO CIVICO 5 DE MAYO LOS FUERTES, PUEBLA PUE. CP: 72270
Puebla,Puebla
(222)2137390 Ext: 298054
(222) Ext:
CLAUDIA_NERI@INAH.GOB.MX"
,,,,,,,,,
457,149715,APOYO A LA COORDINACIÓN DE LA SECCIÓN DE MONUMENTOS HISTÓRICOS,práctica profesional,MONUMENTOS HISTÓRICOS,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,"AV. EJERCITO DE OTE. S/N Col: CENTRO CIVICO 5 DE MAYO LOS FUERTES, PUEBLA PUE. CP: 72270
Puebla,Puebla
(222)2137390 Ext: 298054
(222) Ext:
CLAUDIA_NERI@INAH.GOB.MX"
458,149754,MAGIA PARA EL MUNDO,práctica profesional,DIRECCION DE SERVICIO SOCIAL DE LA BÓVEDA MAGICA A.C.,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,BÓVEDA MÁGICA,"CALLE B #1045 Col: ARBOLEDAS DEL SUR CP: 72565
Puebla,Puebla
(222)2335543 Ext: 0
(222)2335543 Ext: 0
magoaramiz@hotmail.com"
459,149765,LABORATORIOS REMOTOS,práctica profesional,MAKER ZONE,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,CENTRO UNIVERSITARIO DE VINCULACION Y TRANSFERENCIA DE TECNOLOGÍA,"PROLONGACIÓN 24 SUR Y AVENIDA SAN CLAUDIO SIN NUMERO COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 1930
(222) 2295500 EXT 2202
maria.mora@correo.buap.mx"
460,149767,APLICACIONES COLABORATIVAS USABLES,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,,,,,
461,149770,APLICACIÓN WEB DE CITAS PARA UN CONSULTORIO MÉDICO,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,,,,,
462,149771,APPS COLABORATIVAS CON SERVICIOS WEB,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,,,,,
463,149775,GROUPWARE CON CONCIENCIA DE GRUPO,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,,,,,
464,149778,SEGURIDAD EN LA WEB,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO ESQUINA CON 14 SUR S/N COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7218
(222) 2295672 EXT 00
lgalvez@cs.buap.mx"
,,,,,,,,,
465,149796,DESARROLLO DE SERVICIOS WEB SEMÁNTICOS,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 22295672 EXT
mtovar@cs.buap.mx"
,,,,,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 22295672 EXT
mtovar@cs.buap.mx"
,,,,,,,,,
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 22295672 EXT
mtovar@cs.buap.mx"
,,,,,,,,,
466,149797,EXTRACCIÓN DE RELACIONES SEMÁNTICAS EN DOCUMENTOS NO ESTRUCTURADOS,práctica profesional,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 22295672 EXT
mtovar@cs.buap.mx"
,,,,,Ciencias de la Computación,ZAMORA LIMA CARLOS ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR S/N COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7215
(222) 22295672 EXT
mtovar@cs.buap.mx"
,,,,,,,,,
